,,,,
郡望府 毛坯大三房  南北通透  采光无遮挡 诚售,89平米4/21层,德意空港国际萧山-空港新城 靖江路618号,整租朝南,280 元/月
中润置家年租立减百分之二十地铁2号线 可短租 包物业 无中介,10平米15/28层,商瑞大厦萧山-杭州南站 商城南路104号,整租朝南,1070 元/月
经开区长龙城 押一付一 临近商超 交通便利 包物业,45平米10/28层,"滨江东方海岸萧山-湘湖闻堰 时代大道,近湘湖路",整租朝南,1080 元/月
潘水苑 蛋壳公寓直租 临近地铁商场 优惠房源 可月付,11平米16/34层,金马名仕园萧山-杭州南站 通惠中路218号,合租朝南,1090 元/月
首月减600 免中介 可月付 近主干道 采光好香山四季公馆,25平米15/20层,"顺发美哉美城萧山-钱江世纪城 民和路,近飞虹路",整租朝南2号线,1100 元/月
中南君奥时代 蛋壳直租优惠房源 管家服务 定期保洁 可随时看,10平米5/29层,"滨江东方海岸萧山-湘湖闻堰 时代大道,近湘湖路",合租东南,1100 元/月
长龙城 房租可月付 包宽带 有餐厅 随时联系看房经开区,17平米15/23层,顺发佳境天城萧山-钱江世纪城 市心北路737号,合租朝南2号线,1110 元/月
保利霞飞郡 押一付一 包宽带 有阳台 入住佳选 经开区,10平米11/20层,保利融信大国璟(公寓)萧山-萧山市区 建设一路,合租朝南2号线,1130 元/月
萧山 公寓直租 押一付一 包宽带 包物业 看房电联,10平米13/27层,"南门江住宅区萧山-萧山市区 萧然西路,近萧然南路",合租朝南2号线,1130 元/月
萧山 姚江岸家园 押一付一 可随时看房 价格面议,10平米11/21层,萧绍路507号小区萧山-杭州南站 萧绍路507号,整租朝南,1150 元/月
曹家桥地铁口 朝南 押一付一 民用水电,120平米20/33层,"华瑞晴庐萧山-经开区 建设二路,近育才路",合租朝南2号线,1160 元/月
曹家桥 四季华庭 光明尚海湾 广泽小区 广悦公寓 广元公寓,13平米17/29层,滨江新城东方名府(公寓)萧山-经开区 建设二路17号,合租朝南,1178 元/月
明辉花园 户型1室1厅面积10.37 蛋壳直租 管家管理,10平米16/27层,德意空港国际萧山-空港新城 靖江路618号,整租朝南,1190 元/月
盈一佳苑 美哉美城 金色江南 博地大厦 飞虹路站 大象国际,20平米5/10层,"林之语(公寓)萧山-萧山桥南 钱宁线,近奔竞大道",整租朝南,1200 元/月
明怡花苑3室-2厅-1卫合租,18平米10/20层,"华瑞晴庐萧山-经开区 建设二路,近育才路",合租朝南2号线,1200 元/月
广泽小区3室-2厅-1卫合租,18平米10/20层,"众安朝阳银座萧山-南部卧城 市心南路,近朝兴路",合租朝南2号线,1200 元/月
经开区 精装修 户型1室1厅面积11.39 小区环境安静,11平米2/14层,"众安嘉润公馆萧山-钱江世纪城 金鸡路,近潮韵路",整租朝南2号线,1200 元/月
新南郡嘉苑，多套单身公寓，独立厨房卫生间，价格不等，随时看房,12平米9/20层,新安园萧山-萧山市区 永金路300号,合租朝西2号线,1200 元/月
萧山开发区 建设一路 建设三路 大成名座 东方一品 华瑞晴庐,12平米11/22层,江南美农萧山-钱江世纪城 利华路,合租朝南,1210 元/月
滨江东方海岸 青年生活区，交通便利，专业化管家服务,11平米17/26层,"金地天逸萧山-萧山市区 金城路,近风情大道",整租朝南1号线,1220 元/月
空港新城 房东甩租 前自住房 新装修 照片实拍 看房速联,13平米1/11层,"众安嘉润公馆萧山-钱江世纪城 金鸡路,近潮韵路",合租朝南2号线,1230 元/月
金马同盛大厦 品牌公寓户型1室1厅面积11.34 交通便,14平米13/69层,"世纪晶钻萧山-钱江世纪城 民和路,近利丰路",整租朝南2号线,1240 元/月
育秀园 押一付一 包宽带 可做饭 采光好萧山,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
金马名仕园 蛋壳公寓直租 临近地铁商场 优惠房源 可月付,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
首月出600开发区保利霞飞郡信息港旁边德圣博奥城可月付无中介,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
首月减600利二花苑采光良好   交通便利  精装修,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
南部卧城 户型1室1厅 精装修 小区环境安静 价格可协调,15平米3/18层,东河家园上城-小营 直大方伯8号,整租朝南1号线,1510 元/月
朝阳8号 地铁站附近 临近商场 交通便利 随时看房,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
经开区户型3室1厅面积11.85 精装修 老小区环境安静,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
德圣博奥城 房东甩租 新装修之前自住 照片实拍,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
开元名郡户型1室1厅 房东直租 无杂费 家电齐全 可随时入,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
商瑞大厦 蛋壳直租优惠房源 管家服务 定期保洁 可随时看房,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
萧山 户型2室1厅朝向朝南押一付一 公寓直租 包物业 无,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
东方海岸 朝南带阳台 1080看房方便 拎包入住 独立厨卫,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
首月减600顺发美哉美城采光良好   交通便利  精装修,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
好房短租~金马名仕园~包WIFI~拎包入住~欢迎看房,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
金地德圣中心4室-0厅-1卫合租,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
非仲介 押一付一 首月减800 2号线飞虹路  近大象国际,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
新南郡，高桥路，曹家桥站附近，精装小户型，拎包入住,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
闻堰东方海岸，精装单间 朝南户型好，家电齐全，居家好房,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
经开区 房租月付 价格透明 图片实拍可靠 可随时看房,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
首月减600顺发佳境天城采光良好   交通便利  精装修,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
新街 蛋壳公寓直租 房租月付 价格透明 可随时看房,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
保利融信大国璟蛋壳公寓直租 房租月付 无 交通便利 萧,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
首月减600 可月付无中介 萧山香山四季公馆 精装朝南采光,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
南门江住宅区 户型2室1厅 中心地段 直通地铁 可随时看房,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
朝阳8号 1室1厅 家具家电齐全 地铁口 拎包入住 随时看房,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
萧绍路507号 蛋壳直租 家电齐全 房租月付 可直接入住,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
首月促销 萧山市区 1号线地铁口 滨康路站 拎包入住,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
开发区 无中介 建设二路 华瑞晴庐  萧山医院 月付高,16平米13/23层,重汽嘉泽苑萧山-空港新城 红山大道,合租朝南,1480 元/月
经开区 单身公寓 小区隐私性好 直通地铁 随时看房,16平米13/23层,重汽嘉泽苑萧山-空港新城 红山大道,合租朝南,1480 元/月
滨江新城东方名府 押一付一 包物业 有阳台 随时联系看房 经,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
杭州南站 户型1室1厅面积11.02 押一付一 公寓直租,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
好房短租，德意空港国际，包WIFI，拎包入住，欢迎看房,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
蜀山 曹家桥地铁口 广元公寓 新南郡家园 押一付一,12平米2/14层,聚英公寓江干-九堡科技园 九昌路15号,整租朝南1号线,1280 元/月
林之语单间出租房子很多随时看房,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
郡望府 朝南精装一房一厅 独立厨房 独立卫生间 家具家电齐全,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
好房不等人，周边配套成熟，精装实体单间，非中阶，首租立减,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
盈一佳苑3室-1厅-1卫合租,98平米2/30层,"滨江金色江南萧山-钱江世纪城 飞虹路,近永晖路",整租朝南2号线,4500 元/月
首月200免中介月付地铁朝阳站，九悦江南 朝阳逸景苑 广元,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
地铁西兴阳光城上府 可月付 近滨康路地铁 万轮科技园,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
钱江世纪新城 户型1室1厅朝向朝南 精装修 老小区环境安,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
首月1200 押一付一 朝南带阳台 家电家具齐全 拎包入住,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
北干 老城区 无中介 新安园 北干一苑 全拎包住 精装修,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
房东直租 绿都南江商业中心 家电齐全 可直接入住 可月付 其,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
特惠租房，江南美农，包物业，拎包入住，看房速联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
牛角湾公寓蛋壳公寓直租 押一付一 0 临近地铁 萧山,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
特价萧山金地天逸，家电齐全，房源有限,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
阳光城上府 1号线附近 交通方便 精装修 月付 拎包入住,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
众安嘉润公馆地铁二号线飞虹路站 顺发和美家 金色江南民企大厦,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
德信君宸户型1室1厅 房东直租 无杂费 家电齐全 可随时入,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
世纪晶钻公寓，房租便宜，包物业，拎包入住，看房速联,15平米5/7层,庆春苑江干-南肖埠 太平门直街15号,合租朝南2号线,2000 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
运河广场 中大银泰 尚堂府 精装朝南阳台 家电齐全 月付,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
小营 精装修 户型1室1厅面积15.26 小区环境安静,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,17平米5/14层,"伊萨卡国际城(公寓)江干-下沙沿江 14号大街,近沿江大道",合租朝南1号线,1490 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,116平米18/25层,"华盛达阅城(公寓)拱墅-万达 杭行路,近祥富路",整租南北,2600 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
近万达 汽车北站 复地壹中心 富越盈座 精装公寓 西城纪,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
空港新城 精装修 户型2室1厅面积16.05 小区环境安,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
近万达 汽车北站 复地壹中心 富越盈座 精装公寓 西城纪,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
空港新城 精装修 户型2室1厅面积16.05 小区环境安,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,58平米15/27层,泰和天辰国际广场萧山-经开区 市心北路46-72号,整租朝南2号线,3800 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
促销雅仕苑对面南都花园 金成花园 恩济花园 竞舟路口,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
转租 聚英公寓户型1室1厅 拎包入住 定期保洁 房租月付,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
急租耀江广厦公寓 精装修 拎包入住 临近商场地铁 有意电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
"金色江南 三房出租,自住装修,租客刚退出来不久,欢迎随时来电",90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,10平米6/8层,"明月嘉苑一区江干-火车东站 明月桥路,近环站南路",合租朝南1/4号线,1370 元/月
整租 下城区 精装两室一厅地铁好房 周围都是大卖场,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
潮鸣 蛋壳直租活动房源 管家管理 押一付一 看房电联,90平米10/22层,北景莲趣苑下城-北景园 回龙路162号,整租朝南,2500 元/月
